City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
199,bikenibeu village,1.3673,173.1241,27.98,89,75,3.6,KI,1693148396
200,zhanaozen,43.3,52.8,23.33,27,30,5.1,KZ,1693148396
201,bodaybo,57.8506,114.1933,16.1,77,47,0.65,RU,1693148396
202,udachny,66.4167,112.4,19.14,48,40,2.67,RU,1693148396
203,saint-francois,46.4154,3.9054,20.93,52,0,6.69,FR,1693148396
204,harstad,68.799,16.5293,20.13,70,90,3.58,NO,1693148396
205,mayqayyng,51.4625,75.7986,18.29,69,98,2.22,KZ,1693148396
206,rovaniemi,66.5,25.7167,19.67,45,0,1.54,FI,1693148397
207,miracema do tocantins,-9.5618,-48.3967,35.45,35,52,2.25,BR,1693148397
208,bubaque,11.2833,-15.8333,27.61,79,100,5.73,GW,1693148397
209,lebu,-37.6167,-73.65,11.97,57,27,3.2,CL,1693148397
210,hermanus,-34.4187,19.2345,17.67,66,0,5.64,ZA,1693148398
211,aral,40.5156,81.2636,29.97,15,100,2.1,CN,1693148398
212,egilsstadir,65.2653,-14.3948,12.95,76,75,4.63,IS,1693148398
213,lompoc,34.6391,-120.4579,14.08,72,1,2.88,US,1693148398
214,island harbour,50.724,-1.2758,21.21,64,100,2.24,GB,1693148398
215,conception bay south,47.4999,-52.9981,20.8,75,96,4.81,CA,1693148399
216,yeraliyev,43.2,51.65,23.6,46,4,5.49,KZ,1693148399
217,uyovu,-3.2833,31.5258,33.04,16,25,4.03,TZ,1693148399
218,amvrosiyivka,47.7935,38.4777,29.03,32,50,5.36,UA,1693148399
219,dunn,44.95,-91.8835,18.76,83,0,1.89,US,1693148399
220,challapata,-18.9,-66.7667,10.47,18,8,2.65,BO,1693148399
221,kalmunai,7.4167,81.8167,29.35,68,84,6.77,LK,1693148400
222,asau,46.4333,26.4,33.51,26,6,3.86,RO,1693148400
223,downpatrick,54.3263,-5.7035,16.15,89,100,3.08,GB,1693148402
224,kazanskoye,55.6448,69.235,15.27,47,99,2.86,RU,1693148404
225,kidal,18.4411,1.4078,38.57,26,29,5.6,ML,1693148404
